Nume_Model,Finisaj,Tip_Accesoriu,Pret_Baza_Maner,Pret_Accesoriu,Pret_Total_Calculat
ASQRTTSPZ,61 |,PZ,85.83,78.01,163.84
ASQRTTSPZ,61 |,WC,85.83,93.61,179.44
ASQRTTSPZ,7801 } 93,OB,85.83,93.6,179.43
ASQRTTSPZ,7801 } 93,PZ,85.83,78.01,163.84
ASQRTTSPZ,7801 } 93,WC,85.83,93.61,179.44
ASR17S PZ,03 ] 72,OB,65.01,71.51,136.52
ASR17S PZ,03 ] 72,PZ,65.01,78.01,143.02
ASR17S PZ,03 ] 72,WC,65.01,65.01,130.02
ASR17S PZ,44 ! 79.03 | ATR7SPZ j,OB,65.01,71.51,136.52
ASR17S PZ,44 ! 79.03 | ATR7SPZ j,PZ,65.01,78.01,143.02
ASR17S PZ,44 ! 79.03 | ATR7SPZ j,WC,65.01,65.01,130.02
ASR17S PZ,79,OB,65.01,71.51,136.52
ASR17S PZ,79,PZ,65.01,78.01,143.02
ASR17S PZ,79,WC,65.01,65.01,130.02
ASR17S PZ,88,OB,244.06,178.23,422.29
ASR17S PZ,88,PZ,244.06,196.05,440.11
ASR17S PZ,88,WC,244.06,213.88,457.94
ASR17S PZ,f ATR7SWC I;,OB,111.7,122.85,234.55
ASR17S PZ,f ATR7SWC I;,PZ,111.7,118.84,230.54
ASR17S PZ,f ATR7SWC I;,WC,111.7,136.11,247.81
ASR17S PZ,j u ATRTSPZ,OB,65.01,71.51,136.52
ASR17S PZ,j u ATRTSPZ,PZ,65.01,71.5,136.51
ASR17S PZ,j u ATRTSPZ,WC,65.01,93.0,158.01
ASR17S PZ,| 221,OB,244.06,178.23,422.29
ASR17S PZ,| 221,PZ,244.06,196.05,440.11
ASR17S PZ,| 221,WC,244.06,213.88,457.94
ASR17SPZ,03,OB,72.44,79.03,151.47
ASR17SPZ,03,PZ,72.44,79.03,151.47
ASR17SPZ,03,WC,72.44,86.93,159.37
ASR17SPZ,65,OB,72.44,79.03,151.47
ASR17SPZ,65,PZ,72.44,79.03,151.47
ASR17SPZ,65,WC,72.44,86.93,159.37
ASR17SPZ,85 [ 79,OB,72.44,79.03,151.47
ASR17SPZ,85 [ 79,PZ,72.44,79.03,151.47
ASR17SPZ,85 [ 79,WC,72.44,86.93,159.37
ASR7S OB,03 72,OB,65.01,71.51,136.52
ASR7S OB,03 72,PZ,65.01,78.01,143.02
ASR7S OB,03 72,WC,65.01,65.01,130.02
ASR7S OB,03 I AT R 7S OB I,OB,65.01,71.51,136.52
ASR7S OB,03 I AT R 7S OB I,PZ,65.01,78.01,143.02
ASR7S OB,03 I AT R 7S OB I,WC,65.01,65.01,130.02
ASR7S OB,44 ' 79,OB,65.01,71.51,136.52
ASR7S OB,44 ' 79,PZ,65.01,78.01,143.02
ASR7S OB,44 ' 79,WC,65.01,65.01,130.02
ASR7S OB,ţ 79,OB,65.01,71.51,136.52
ASR7S OB,ţ 79,PZ,65.01,78.01,143.02
ASR7S OB,ţ 79,WC,65.01,65.01,130.02
ASR7S WC,01,OB,71.51,65.85,137.36
ASR7S WC,01,PZ,71.51,79.03,150.54
ASR7S WC,01,WC,71.51,79.03,150.54
ASR7S WC,129,OB,124.46,129.59,254.05
ASR7S WC,129,PZ,124.46,118.84,243.3
ASR7S WC,129,WC,124.46,136.11,260.57
ASR7S WC,59,OB,124.46,129.59,254.05
ASR7S WC,59,PZ,124.46,118.84,243.3
ASR7S WC,59,WC,124.46,136.11,260.57
ASR7S WC,70,OB,122.85,113.13,235.98
ASR7S WC,70,PZ,122.85,129.59,252.44
ASR7S WC,70,WC,122.85,129.59,252.44
ASR7S WC,ATR7SPZ,OB,65.01,71.51,136.52
ASR7S WC,ATR7SPZ,PZ,65.01,79.03,144.04
ASR7S WC,ATR7SPZ,WC,65.01,79.03,144.04
ASR7S WC,ATR7SWC 111,OB,122.85,113.13,235.98
ASR7S WC,ATR7SWC 111,PZ,122.85,129.59,252.44
ASR7S WC,ATR7SWC 111,WC,122.85,129.59,252.44
ASR7S WC,I ATR7S0B 65,OB,71.51,65.85,137.36
ASR7S WC,I ATR7S0B 65,PZ,71.51,79.03,150.54
ASR7S WC,I ATR7S0B 65,WC,71.51,79.03,150.54
ASRTS OB,65,OB,79.03,72.44,151.47
ASRTS OB,65,PZ,79.03,79.03,158.06
ASRTS OB,65,WC,79.03,86.93,165.96
ASRTS OB,85,OB,79.03,72.44,151.47
ASRTS OB,85,PZ,79.03,79.03,158.06
ASRTS OB,85,WC,79.03,86.93,165.96
ASRTSPZ,6585,OB,79.03,72.44,151.47
ASRTSPZ,6585,PZ,79.03,65.85,144.88
ASRTSPZ,6585,WC,79.03,79.03,158.06
ASRTSPZ,TT | 6601 I,OB,71.51,78.01,149.52
ASRTSPZ,TT | 6601 I,PZ,71.51,65.01,136.52
ASRTSPZ,TT | 6601 I,WC,71.51,71.5,143.01
ASRTTS WC,00,OB,146.81,128.18,274.99
ASRTTS WC,00,PZ,146.81,141.0,287.81
ASRTTS WC,00,WC,146.81,146.81,293.62
ASRTTS WC,1 128,OB,146.81,128.18,274.99
ASRTTS WC,1 128,PZ,146.81,141.0,287.81
ASRTTS WC,1 128,WC,146.81,146.81,293.62
ASRTTS WC,18 Î 146,OB,146.81,128.18,274.99
ASRTTS WC,18 Î 146,PZ,146.81,141.0,287.81
ASRTTS WC,18 Î 146,WC,146.81,146.81,293.62
ASRTTS WC,81 ! 141,OB,146.81,128.18,274.99
ASRTTS WC,81 ! 141,PZ,146.81,141.0,287.81
ASRTTS WC,81 ! 141,WC,146.81,146.81,293.62
ASRTTSOB,T8.01 |,OB,93.61,85.83,179.44
ASRTTSOB,T8.01 |,PZ,93.61,93.61,187.22
ASRTTSOB,T8.01 |,WC,93.61,78.01,171.62
ATQ7SO0B,01,OB,84.03,70.03,154.06
ATQ7SO0B,01,PZ,84.03,70.91,154.94
ATQ7SO0B,01,WC,84.03,85.1,169.13
ATQ7SO0B,03 77,OB,84.03,70.03,154.06
ATQ7SO0B,03 77,PZ,84.03,70.91,154.94
ATQ7SO0B,03 77,WC,84.03,85.1,169.13
ATQ7SO0B,s 70,OB,84.03,70.03,154.06
ATQ7SO0B,s 70,PZ,84.03,70.91,154.94
ATQ7SO0B,s 70,WC,84.03,85.1,169.13
ATQ7SPZ,01,OB,84.03,70.03,154.06
ATQ7SPZ,01,PZ,84.03,70.91,154.94
ATQ7SPZ,01,WC,84.03,85.1,169.13
ATQ7SPZ,03 71,OB,84.03,70.03,154.06
ATQ7SPZ,03 71,PZ,84.03,70.91,154.94
ATQ7SPZ,03 71,WC,84.03,85.1,169.13
ATQ7SPZ,70,OB,84.03,70.03,154.06
ATQ7SPZ,70,PZ,84.03,70.91,154.94
ATQ7SPZ,70,WC,84.03,85.1,169.13
ATQ7SWC,/ 359,OB,431.96,297.63,729.59
ATQ7SWC,/ 359,PZ,431.96,327.39,759.35
ATQ7SWC,/ 359,WC,431.96,327.39,759.35
ATQ7SWC,03 126,OB,132.28,115.03,247.31
ATQ7SWC,03 126,PZ,132.28,116.51,248.79
ATQ7SWC,03 126,WC,132.28,133.45,265.73
ATQ7SWC,115,OB,132.28,115.03,247.31
ATQ7SWC,115,PZ,132.28,116.51,248.79
ATQ7SWC,115,WC,132.28,133.45,265.73
ATQ7SWC,53,OB,132.28,115.03,247.31
ATQ7SWC,53,PZ,132.28,116.51,248.79
ATQ7SWC,53,WC,132.28,133.45,265.73
ATQ7SWC,99,OB,431.96,297.63,729.59
ATQ7SWC,99,PZ,431.96,327.39,759.35
ATQ7SWC,99,WC,431.96,327.39,759.35
ATQTSWC,,OB,15.03,116.51,131.54
ATQTSWC,,PZ,15.03,133.45,148.48
ATQTSWC,,WC,15.03,132.28,147.31
ATQTSWC,51,OB,116.51,136.3,252.81
ATQTSWC,51,PZ,116.51,142.78,259.29
ATQTSWC,51,WC,116.51,148.68,265.19
ATQTSWC,91,OB,70.91,92.6,163.51
ATQTSWC,91,PZ,70.91,97.01,167.92
ATQTSWC,91,WC,70.91,105.84,176.75
ATQTSWC,AS Q7SOB | O,OB,70.91,92.6,163.51
ATQTSWC,AS Q7SOB | O,PZ,70.91,97.01,167.92
ATQTSWC,AS Q7SOB | O,WC,70.91,105.84,176.75
ATQTSWC,AS Q7SWC | 11651 116,OB,116.51,136.3,252.81
ATQTSWC,AS Q7SWC | 11651 116,PZ,116.51,142.78,259.29
ATQTSWC,AS Q7SWC | 11651 116,WC,116.51,148.68,265.19
ATQTSWC,St 70,OB,70.91,92.6,163.51
ATQTSWC,St 70,PZ,70.91,97.01,167.92
ATQTSWC,St 70,WC,70.91,105.84,176.75
ATR7S WC,111,OB,122.85,128.44,251.29
ATR7S WC,111,PZ,122.85,111.7,234.55
ATR7S WC,111,WC,122.85,129.59,252.44
ATR7S WC,41 |,OB,328.74,305.16,633.9
ATR7S WC,41 |,PZ,328.74,128.78,457.52
ATR7S WC,41 |,WC,328.74,167.41,496.15
ATR7S WC,70,OB,122.85,128.44,251.29
ATR7S WC,70,PZ,122.85,111.7,234.55
ATR7S WC,70,WC,122.85,129.59,252.44
ATR7S WC,95 |277,OB,328.74,305.16,633.9
ATR7S WC,95 |277,PZ,328.74,128.78,457.52
ATR7S WC,95 |277,WC,328.74,167.41,496.15
ATR7S WC,AS R 5S OB,OB,77.5,93.0,170.5
ATR7S WC,AS R 5S OB,PZ,77.5,84.53,162.03
ATR7S WC,AS R 5S OB,WC,77.5,71.5,149.0
ATR7S WC,|273,OB,328.74,305.16,633.9
ATR7S WC,|273,PZ,328.74,128.78,457.52
ATR7S WC,|273,WC,328.74,167.41,496.15
ATR7S WC,î,OB,218.61,284.21,502.82
ATR7S WC,î,PZ,218.61,240.48,459.09
ATR7S WC,î,WC,218.61,128.78,347.39
ATR7SOB,,OB,65.01,71.51,136.52
ATR7SOB,,OB,198.56,218.44,417.0
ATR7SOB,,PZ,65.01,65.01,130.02
ATR7SOB,,PZ,198.56,208.49,407.05
ATR7SOB,,WC,65.01,78.01,143.02
ATR7SOB,,WC,198.56,902.96,1101.52
ATR7SOB,01 |,OB,71.51,65.01,136.52
ATR7SOB,01 |,PZ,71.51,71.51,143.02
ATR7SOB,01 |,WC,71.51,78.01,149.52
ATR7SOB,51,OB,78.01,65.01,143.02
ATR7SOB,51,PZ,78.01,65.85,143.86
ATR7SOB,51,WC,78.01,79.03,157.04
ATR7SOB,70 |,OB,122.85,111.7,234.55
ATR7SOB,70 |,PZ,122.85,122.85,245.7
ATR7SOB,70 |,WC,122.85,128.44,251.29
ATR7SOB,ATR7SOB 6501 / 71,OB,78.01,65.01,143.02
ATR7SOB,ATR7SOB 6501 / 71,PZ,78.01,65.85,143.86
ATR7SOB,ATR7SOB 6501 / 71,WC,78.01,79.03,157.04
ATR7SOB,ATR7SWC |111,OB,122.85,111.7,234.55
ATR7SOB,ATR7SWC |111,PZ,122.85,122.85,245.7
ATR7SOB,ATR7SWC |111,WC,122.85,128.44,251.29
ATR7SOB,ATRTSPZ / 65,OB,71.51,65.01,136.52
ATR7SOB,ATRTSPZ / 65,PZ,71.51,71.51,143.02
ATR7SOB,ATRTSPZ / 65,WC,71.51,78.01,149.52
ATR7SPZ,/,OB,260.9,313.1,574.0
ATR7SPZ,/,PZ,260.9,290.65,551.55
ATR7SPZ,/,WC,260.9,290.65,551.55
ATR7SPZ,01 | 71,OB,78.01,65.01,143.02
ATR7SPZ,01 | 71,PZ,78.01,77.5,155.51
ATR7SPZ,01 | 71,WC,78.01,93.0,171.01
ATR7SPZ,51,OB,78.01,65.01,143.02
ATR7SPZ,51,PZ,78.01,77.5,155.51
ATR7SPZ,51,WC,78.01,93.0,171.01
ATR7SPZ,65,OB,78.01,65.01,143.02
ATR7SPZ,65,PZ,78.01,77.5,155.51
ATR7SPZ,65,WC,78.01,93.0,171.01
ATR7SPZ,; ATR7S WC,OB,111.7,122.85,234.55
ATR7SPZ,; ATR7S WC,PZ,111.7,128.44,240.14
ATR7SPZ,; ATR7S WC,WC,111.7,111.7,223.4
ATRTSOB,01,OB,71.51,78.01,149.52
ATRTSOB,01,PZ,71.51,65.01,136.52
ATRTSOB,01,WC,71.51,79.03,150.54
ATRTSOB,; 65,OB,71.51,78.01,149.52
ATRTSOB,; 65,PZ,71.51,65.01,136.52
ATRTSOB,; 65,WC,71.51,79.03,150.54
ATRTSPZ I,01 71,OB,78.01,65.01,143.02
ATRTSPZ I,01 71,PZ,78.01,65.85,143.86
ATRTSPZ I,01 71,WC,78.01,79.03,157.04
ATRTSPZ I,51,OB,78.01,65.01,143.02
ATRTSPZ I,51,PZ,78.01,65.85,143.86
ATRTSPZ I,51,WC,78.01,79.03,157.04
ATRTSPZ I,65,OB,78.01,65.01,143.02
ATRTSPZ I,65,PZ,78.01,65.85,143.86
ATRTSPZ I,65,WC,78.01,79.03,157.04
Q5S PZ,/ 88,OB,105.84,92.6,198.44
Q5S PZ,/ 88,PZ,105.84,97.01,202.85
Q5S PZ,/ 88,WC,105.84,105.84,211.68
Q5S PZ,19,OB,105.84,92.6,198.44
Q5S PZ,19,PZ,105.84,97.01,202.85
Q5S PZ,19,WC,105.84,105.84,211.68
STQ750B,,OB,70.03,91.03,161.06
STQ750B,,OB,411.33,377.38,788.71
STQ750B,,PZ,70.03,71.01,141.04
STQ750B,,PZ,411.33,448.73,860.06
STQ750B,,WC,70.03,70.03,140.06
STQ750B,,WC,411.33,411.68,823.01
STQ750B,- |,OB,70.08,91.03,161.11
STQ750B,- |,PZ,70.08,77.01,147.09
STQ750B,- |,WC,70.08,70.03,140.11
STQ750B,AS QR 7S OB,OB,89.36,88.24,177.6
STQ750B,AS QR 7S OB,PZ,89.36,89.36,178.72
STQ750B,AS QR 7S OB,WC,89.36,88.24,177.6
STQ750B,AS QR 7S PZ î,OB,89.36,88.24,177.6
STQ750B,AS QR 7S PZ î,PZ,89.36,89.36,178.72
STQ750B,AS QR 7S PZ î,WC,89.36,88.24,177.6
STQ750B,Î0 1S Wwc i,OB,115.03,149.53,264.56
STQ750B,Î0 1S Wwc i,PZ,115.03,126.51,241.54
STQ750B,Î0 1S Wwc i,WC,115.03,115.03,230.06
STQ7S OB,,OB,70.03,91.03,161.06
STQ7S OB,,OB,70.03,77.01,147.04
STQ7S OB,,PZ,70.03,71.01,141.04
STQ7S OB,,PZ,70.03,91.03,161.06
STQ7S OB,,WC,70.03,70.03,140.06
STQ7S OB,,WC,70.03,77.01,147.04
STQ7S WC,03 149,OB,126.51,115.03,241.54
STQ7S WC,03 149,PZ,126.51,149.53,276.04
STQ7S WC,03 149,WC,126.51,126.51,253.02
STQ7S WC,115,OB,126.51,115.03,241.54
STQ7S WC,115,PZ,126.51,149.53,276.04
STQ7S WC,115,WC,126.51,126.51,253.02
STQ7S WC,53,OB,126.51,115.03,241.54
STQ7S WC,53,PZ,126.51,149.53,276.04
STQ7S WC,53,WC,126.51,126.51,253.02
STQ7SPZ,03,OB,77.01,70.03,147.04
STQ7SPZ,03,PZ,77.01,91.03,168.04
STQ7SPZ,03,WC,77.01,77.01,154.02
STQ7SPZ,70,OB,77.01,70.03,147.04
STQ7SPZ,70,PZ,77.01,91.03,168.04
STQ7SPZ,70,WC,77.01,77.01,154.02
STR7S0B,53,OB,71.5,65.01,136.51
STR7S0B,53,PZ,71.5,84.53,156.03
STR7S0B,53,WC,71.5,71.5,143.0
STR7S0B,6501 | 84,OB,71.5,65.01,136.51
STR7S0B,6501 | 84,PZ,71.5,84.53,156.03
STR7S0B,6501 | 84,WC,71.5,71.5,143.0
STR7SPZ T},,OB,65.01,84.53,149.54
STR7SPZ T},,PZ,65.01,71.5,136.51
STR7SPZ T},,WC,65.01,65.01,130.02
